date,stock_id,tier,final_score,tech_score,fund_score,event_score,chip_score,ret_5d,ret_10d,ret_20d,ret_now
2026-05-26,2615,觀察股,46.8,55.0,37.0,50.0,,3.312883435582826,3.926380368098163,-3.312883435582826,40.49079754601227
2026-05-26,2609,觀察股,46.0,45.0,45.0,50.0,,3.0769230769230793,-0.7692307692307665,-0.7692307692307665,10.769230769230772
2026-05-26,2345,觀察股,45.2,43.0,45.0,50.0,,-7.442748091603053,-5.534351145038168,-9.351145038167939,-15.839694656488549
2026-05-26,5880,觀察股,44.4,35.0,45.0,62.0,,1.5418502202643234,5.066079295154195,7.488986784140966,12.77533039647578
2026-05-26,2303,觀察股,44.0,40.0,45.0,50.0,,8.42911877394636,-2.2988505747126435,36.39846743295019,1.532567049808429
2026-05-26,2357,觀察股,44.0,55.0,30.0,50.0,,31.616595135908444,21.602288984263232,10.300429184549357,44.49213161659514
2026-05-26,1303,觀察股,43.2,33.0,45.0,60.0,,23.89867841409692,9.25110132158591,71.80616740088107,158.25991189427313
2026-05-26,2454,觀察股,42.0,65.0,15.0,50.0,,6.096131301289566,4.9237983587338805,0.4689331770222743,1.1723329425556859
2026-05-26,8046,觀察股,41.2,33.0,45.0,50.0,,-6.507592190889371,-0.8676789587852495,3.5791757049891544,32.86334056399132
2026-05-26,1590,觀察股,41.2,33.0,45.0,50.0,,-12.627986348122866,-10.921501706484642,-5.460750853242321,-1.3651877133105803
2026-05-26,2301,觀察股,40.0,30.0,45.0,50.0,,-5.010438413361169,-6.471816283924843,-9.603340292275574,25.469728601252612
2026-05-26,2353,觀察股,40.0,30.0,45.0,50.0,,33.38557993730407,15.83072100313481,7.2100313479623965,-0.47021943573667274
2026-05-26,2395,觀察股,40.0,30.0,45.0,50.0,,0.9803921568627451,-4.019607843137255,-7.156862745098039,39.411764705882355
2026-05-27,2308,強力候選,55.5,75.0,30.0,67.5,,-2.579365079365079,-12.698412698412698,-21.428571428571427,-25.992063492063494
2026-05-27,2317,觀察股,54.0,65.0,45.0,50.0,,17.045454545454543,-0.3787878787878788,-2.462121212121212,-3.0303030303030303
